Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,56.937760009803
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,104.612262773723
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,17.7300750711665
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,277.325
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,163.842553191489
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,24.7130520574316
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,218.831818181818
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,16.2585100979651
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,103.680224798033
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,588.027777777778
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,3.24787091037205
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,107.127966860564
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,120.234667956937
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,38.5254745254745
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,2017.27369979138
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,1239.57931166936
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,666.606976744186
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,46.7195037884204
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,377.584412153236
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,16.7939938623411
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,101.853919829727
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1184.68516426289
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,19.7775277714448
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,10.4801458506416
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,64.92048828125
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,3.97742487604327
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,25.0617162430876
Population density (people per sq. km of land area),EN.POP.DNST,British Virgin Islands,VGB,198.68
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,81.3969639468691
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,64.7110998526161
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,72.1912828947368
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,435.178271028037
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,134.929776674938
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,92.0564128710628
