"","country","state","date","Mobility_Type","Change","Time_Line"
"1","India","Andaman and Nicobar Islands",2020-02-15,"grocery_and_pharmacy_change",-9,"Feb-March"
"2","India","Andaman and Nicobar Islands",2020-02-15,"parks_change",5,"Feb-March"
"3","India","Andaman and Nicobar Islands",2020-02-15,"residential_change",2,"Feb-March"
"4","India","Andaman and Nicobar Islands",2020-02-15,"retail_and_recreation_change",1,"Feb-March"
"5","India","Andaman and Nicobar Islands",2020-02-15,"transit_stations_change",-2,"Feb-March"
"6","India","Andaman and Nicobar Islands",2020-02-15,"workplaces_change",6,"Feb-March"
"7","India","Andaman and Nicobar Islands",2020-02-16,"grocery_and_pharmacy_change",-6,"Feb-March"
"8","India","Andaman and Nicobar Islands",2020-02-16,"parks_change",1,"Feb-March"
"9","India","Andaman and Nicobar Islands",2020-02-16,"residential_change",NA,"Feb-March"
"10","India","Andaman and Nicobar Islands",2020-02-16,"retail_and_recreation_change",0,"Feb-March"
"11","India","Andaman and Nicobar Islands",2020-02-16,"transit_stations_change",2,"Feb-March"
"12","India","Andaman and Nicobar Islands",2020-02-16,"workplaces_change",4,"Feb-March"
"13","India","Andaman and Nicobar Islands",2020-02-17,"grocery_and_pharmacy_change",2,"Feb-March"
"14","India","Andaman and Nicobar Islands",2020-02-17,"parks_change",5,"Feb-March"
"15","India","Andaman and Nicobar Islands",2020-02-17,"residential_change",1,"Feb-March"
"16","India","Andaman and Nicobar Islands",2020-02-17,"retail_and_recreation_change",-1,"Feb-March"
"17","India","Andaman and Nicobar Islands",2020-02-17,"transit_stations_change",1,"Feb-March"
"18","India","Andaman and Nicobar Islands",2020-02-17,"workplaces_change",6,"Feb-March"
"19","India","Andaman and Nicobar Islands",2020-02-18,"grocery_and_pharmacy_change",12,"Feb-March"
"20","India","Andaman and Nicobar Islands",2020-02-18,"parks_change",-4,"Feb-March"
"21","India","Andaman and Nicobar Islands",2020-02-18,"residential_change",3,"Feb-March"
"22","India","Andaman and Nicobar Islands",2020-02-18,"retail_and_recreation_change",-2,"Feb-March"
"23","India","Andaman and Nicobar Islands",2020-02-18,"transit_stations_change",-1,"Feb-March"
"24","India","Andaman and Nicobar Islands",2020-02-18,"workplaces_change",4,"Feb-March"
"25","India","Andaman and Nicobar Islands",2020-02-19,"grocery_and_pharmacy_change",9,"Feb-March"
"26","India","Andaman and Nicobar Islands",2020-02-19,"parks_change",-6,"Feb-March"
"27","India","Andaman and Nicobar Islands",2020-02-19,"residential_change",1,"Feb-March"
"28","India","Andaman and Nicobar Islands",2020-02-19,"retail_and_recreation_change",-5,"Feb-March"
"29","India","Andaman and Nicobar Islands",2020-02-19,"transit_stations_change",2,"Feb-March"
"30","India","Andaman and Nicobar Islands",2020-02-19,"workplaces_change",4,"Feb-March"
"31","India","Andaman and Nicobar Islands",2020-02-20,"grocery_and_pharmacy_change",-4,"Feb-March"
"32","India","Andaman and Nicobar Islands",2020-02-20,"parks_change",3,"Feb-March"
"33","India","Andaman and Nicobar Islands",2020-02-20,"residential_change",1,"Feb-March"
"34","India","Andaman and Nicobar Islands",2020-02-20,"retail_and_recreation_change",-2,"Feb-March"
"35","India","Andaman and Nicobar Islands",2020-02-20,"transit_stations_change",-1,"Feb-March"
"36","India","Andaman and Nicobar Islands",2020-02-20,"workplaces_change",1,"Feb-March"
"37","India","Andaman and Nicobar Islands",2020-02-21,"grocery_and_pharmacy_change",-9,"Feb-March"
"38","India","Andaman and Nicobar Islands",2020-02-21,"parks_change",1,"Feb-March"
"39","India","Andaman and Nicobar Islands",2020-02-21,"residential_change",4,"Feb-March"
"40","India","Andaman and Nicobar Islands",2020-02-21,"retail_and_recreation_change",-1,"Feb-March"
"41","India","Andaman and Nicobar Islands",2020-02-21,"transit_stations_change",1,"Feb-March"
"42","India","Andaman and Nicobar Islands",2020-02-21,"workplaces_change",-9,"Feb-March"
"43","India","Andaman and Nicobar Islands",2020-02-22,"grocery_and_pharmacy_change",-16,"Feb-March"
"44","India","Andaman and Nicobar Islands",2020-02-22,"parks_change",2,"Feb-March"
"45","India","Andaman and Nicobar Islands",2020-02-22,"residential_change",1,"Feb-March"
"46","India","Andaman and Nicobar Islands",2020-02-22,"retail_and_recreation_change",-4,"Feb-March"
"47","India","Andaman and Nicobar Islands",2020-02-22,"transit_stations_change",-3,"Feb-March"
"48","India","Andaman and Nicobar Islands",2020-02-22,"workplaces_change",0,"Feb-March"
"49","India","Andaman and Nicobar Islands",2020-02-23,"grocery_and_pharmacy_change",-6,"Feb-March"
"50","India","Andaman and Nicobar Islands",2020-02-23,"parks_change",-6,"Feb-March"
"51","India","Andaman and Nicobar Islands",2020-02-23,"residential_change",NA,"Feb-March"
"52","India","Andaman and Nicobar Islands",2020-02-23,"retail_and_recreation_change",-6,"Feb-March"
"53","India","Andaman and Nicobar Islands",2020-02-23,"transit_stations_change",1,"Feb-March"
"54","India","Andaman and Nicobar Islands",2020-02-23,"workplaces_change",3,"Feb-March"
"55","India","Andaman and Nicobar Islands",2020-02-24,"grocery_and_pharmacy_change",-19,"Feb-March"
"56","India","Andaman and Nicobar Islands",2020-02-24,"parks_change",-2,"Feb-March"
"57","India","Andaman and Nicobar Islands",2020-02-24,"residential_change",0,"Feb-March"
"58","India","Andaman and Nicobar Islands",2020-02-24,"retail_and_recreation_change",-3,"Feb-March"
"59","India","Andaman and Nicobar Islands",2020-02-24,"transit_stations_change",8,"Feb-March"
"60","India","Andaman and Nicobar Islands",2020-02-24,"workplaces_change",4,"Feb-March"
"61","India","Andaman and Nicobar Islands",2020-02-25,"grocery_and_pharmacy_change",-2,"Feb-March"
"62","India","Andaman and Nicobar Islands",2020-02-25,"parks_change",-5,"Feb-March"
