State,population
Andaman and Nicobar Islands,381
Andhra Pradesh,49387
Arunachal Pradesh,1384
Assam,31206
Bihar,104099
Chandigarh,1055
Chhattisgarh,25545
Dadra Nagar Haveli,344
Daman and Diu,243
Delhi,16788
Goa,1459
Gujarat,60440
Haryana,25351
Himachal Pradesh,6865
Jammu and Kashmir,12541
Jharkhand,32988
Karnataka,61095
Kerala,33406
Lakshadweep,64
Ladakh,274
Madhya Pradesh,72627
Maharashtra,112374
Manipur,2856
Meghalaya,2967
Mizoram,1097
Nagaland,1979
Odisha,41974
Puducherry,1248
Punjab,27743
Rajasthan,68548
Sikkim,611
Tamil Nadu,72147
Telangana,35194
Tripura,3674
Uttar Pradesh,199812
Uttarakhand,10086
West Bengal,91276
